t_ms,node_1_x,node_1_y,node_1_light
15785,90.4,90.4,0
15825,90.4,90.4,0
15866,90.4,90.4,0
15906,90.4,90.4,0
15947,90.4,90.4,0
15987,90.4,90.4,0
16028,90.4,90.4,0
16069,90.4,90.4,0
16109,90.4,90.4,0
16150,90.4,90.4,0
16190,90.4,90.4,0
16231,90.4,90.4,0
16271,90.4,90.4,0
16312,90.4,90.4,0
16353,90.4,90.4,0
16393,90.4,90.4,0
16434,90.4,90.4,0
16474,90.4,90.4,0
16515,90.4,90.4,0
16555,90.4,90.4,0
16596,90.4,90.4,0
16637,90.4,90.4,0
16677,90.4,90.4,0
16718,90.4,90.4,0
16758,90.4,90.4,0
16799,90.4,90.4,0
16839,90.4,90.4,0
16880,90.4,90.4,0
16920,90.4,90.4,0
16961,90.4,90.4,0
17001,90.4,90.4,0
17042,90.4,90.4,0
17083,90.4,90.4,0
17123,90.4,90.4,0
17164,90.4,90.4,0
17205,90.4,90.4,0
17245,90.4,90.4,0
17286,90.4,90.4,0
17326,90.4,90.4,0
17367,90.4,90.4,0
17408,90.4,90.4,0
17448,90.4,90.4,0
17489,90.4,90.4,0
